codigo;descrição;NCM
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02099000
121;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02101100
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02101200
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02101900
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02102000
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109100
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109200
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109300
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109911
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109919
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109920
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109930
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109940
1;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 121";02109990
1;"Tributado; CST Entrada 50; CST Saida 01";03011110
1;"Tributado; CST Entrada 50; CST Saida 01";03011190
1;"Tributado; CST Entrada 50; CST Saida 01";03011900
1;"Tributado; CST Entrada 50; CST Saida 01";03019110
1;"Tributado; CST Entrada 50; CST Saida 01";03019190
1;"Tributado; CST Entrada 50; CST Saida 01";03019210
1;"Tributado; CST Entrada 50; CST Saida 01";03019290
1;"Tributado; CST Entrada 50; CST Saida 01";03019310
1;"Tributado; CST Entrada 50; CST Saida 01";03019390
1;"Tributado; CST Entrada 50; CST Saida 01";03019410
1;"Tributado; CST Entrada 50; CST Saida 01";03019490
1;"Tributado; CST Entrada 50; CST Saida 01";03019510
1;"Tributado; CST Entrada 50; CST Saida 01";03019590
1;"Tributado; CST Entrada 50; CST Saida 01";03019911
1;"Tributado; CST Entrada 50; CST Saida 01";03019912
1;"Tributado; CST Entrada 50; CST Saida 01";03019919
1;"Tributado; CST Entrada 50; CST Saida 01";03019991
1;"Tributado; CST Entrada 50; CST Saida 01";03019992
1;"Tributado; CST Entrada 50; CST Saida 01";03019999
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03021100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03021300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03021400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03021900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03022100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03022200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03022300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03022400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03022900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03023100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03023200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03023300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03023400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03023500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03023600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03023900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024210
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024290
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024700
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024910
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03024990
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03025100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03025200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03025300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03025400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03025500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03025600
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03025900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03027100
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03027210
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03027290
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03027300
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03027400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03027900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028100
